index	sentence
0	All the people around me in real life don’t give a fuck and look at me like I’m a crazy person when I start ranting and raving about the implications lol listening to you guys is cathartic for me $ 
1	Crypto is a gamble but I ' d rather HODL and go to zero than watch a project explode next year in an all out bull market and once the tech gets adopted more . # crypto # blockchain # hodl $ 
2	年金炎上から垣間見える「老後不安社会」ニッポンの残念なリアル（ダイヤモンド・オンライン） headlines . yahoo . co . jp / article ? a = 2019 0719 - 00209152 - diamond - bus _ all   … $ 
3	Not now , Debbie ! $ 
4	«Going forward , the BNB holding period may start before each Launchpad Project is initially announced . » Unpredictability is a great feature for a token model to incentivize HODL / 1151832161349058560   … $ 
5	" ( "" crypto currency "" . . . not bitcoin ) $ "
6	Question on @ Quora : Are you buying , holding ( HODL ) or selling your Cryptocurrencies and why ? - holding - HODL - or - selling - your - Cryptocurrencies - and - why   … $ 
7	Yeni bir kampanya yapacak şartlar değişecek 3 aylik süre içinde 5 adet IEO yapılacak ve en az 30 gunluk zorunlu BNB HODL edilmesi şartı geliyor $ 
8	"Like try and legitimize "" public blockchains "" ? $ "
9	Let ' s use this as an example . . . Rand is a libertarian so I kind of know his stance . It isn ' t because he doesn ' t want to but from a libertarian stance you want to be a week balanced government on the sheets . $ 
10	Profit Foundation 3rd Withdrawal Done NEW PROJECT JOIN NOW on   … # investment # crypto # investor # investing # cryptocurrency # bitcoin # ethereum # litecoin # wealth # wealthy # money # makingmoney # hodl # cryptotrading # cryptocurrencynews $ 
11	How can they control the price if the coin gets traded on exchanges ? $ 
12	Do you not play with $ LTC ? Or you just hodl a bit ? $ 
13	Imagine what those who # HODL with Celsius shall inherit # unbankyourself s / status / 1151867001423486976   … $ 
14	 share & v = 5n9KAw5gZTE   … $ 
15	How about ending all welfare , and ending all taxes , and returning to people keeping 100 % of their hard labor and not being robbed at gunpoint ? $ 
16	2020 $40 , 000 $ 
17	Just buy on Coinbase , and HODL it there . $ 
18	I bet that the # blockchain # HODL # AI # ML # FaceApp # GameOfThrones # SDCC crowds want to get in on the @ Gillis57 @ zjpahle notification extravaganza ! $ 
19	2の次は3です。 エリオット波動は上昇5波動と下落3波動が基本なんで 今、短期はこんな波動になってます。 オカルトですので後付けでしか使えないですけど。 $ 
20	Just lending a helping hand to a fellow stacker . $ 
21	This is the definition of bigotry . The left doesn ' t even know how to hide their fucking double standards $ 
22	HERE WE GO # BTC # CRYPTO # HODL tus / 1151614177577881601   … $ 
23	 . . . came to the conclusion : while Ripple is an important part of the XRPL ecosystem , exchanges who make money from its use need to step up and support the network . I agree with that position , as those with a vested interest in its success should contribute . @ haydentiff $ 
24	1 green dildo and everybody started jumping $ 
25	It was probably somebody in Congress after this week ' s talks about cryptocurrency LOL $ 
26	Selling ? # HODL only $ 
27	Ivanov says he has made this decision so that he can exclusively concentrate on the development of the # Waves platform . ow . ly / TJdn50v2OnX   $ 
28	Or atleast make bitcoin the default setting $ 
29	What’s the point of a “stablecoin” if people aren’t going to hodl ? I think Marcus must have been misunderstood or misquoted on this . $ 
30	Tor up ! $ 
31	CFTC / Bitmex probe FUD tatus / 1152174165140672512   … $ 
32	Bitcoinist : US Treasury Sec : We Don’t Want Bitcoin a “Swiss - Numbered Bank Account” dlvr . it / R8gd1d   $ 
33	I don ' t trade . I just focused on earning more fiat to buy more bitcoins and some other alt coins and HODL . $ 
34	The country is 21 Trillion in debt , and so is California . $ 
35	Asian American for Trump ! Preferably Ted Cruz but whatever I ' ll take Trump . . . $ 
36	Favorite sandwich . . . go ! $ 
37	I hope this not racist ; ) $ 
38	WANT TO SPEND CRYPTO WITH REAL BUSINESSES ? NOW YOU CAN WITH THE BIZPAYE CRYPTO TOKEN # BIZpaye # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # OnlineShopping # Merchants # B2B # B2C # retail $ 
39	White paper is translated literally $ 
40	We ' ll need to do it again . Great time ! $ 
41	So it is written , so shall it be done # satoshi # bitcoin # HODL # gemini # prophecy s / status / 1151880177166802945   … $ 
42	なんとなく自分の中で成長が感じられた時です。 テキトーです。 LV20になったらダーマの神殿行ってジョブチェンジします。 $ 
43	$ ENJ ST1 Hit ! 18 % Profit in a day ! Free crypto channel , Join t . me / phoenixICF   # hodl # eidoo # aurora # cybermiles $ TUSD # wagerr # emercoin $ VET # ico $ WTC $ USDT # zcash $ MDS # holo $ OCN # ignis $ BCH $ ETH $ KIN $ ETH $ AGI # hypercash $ XRP $ MTL # monacoin 8704869 $ 
44	This further exemplifies how we have now entered phase 3 . We fight for freedom ! $ BTC # Bitcoin s / 1150047438440456192 ? s = 19   … $ 
45	Excited to share this item from my # etsy shop : Crypto hoodie , Bitcoin sweater , Cryptocurrency clothing , hodl , winter gifts , sweatshirt , warm pullover etsy . me / 2XWqLaq   $ 
46	Pra todos , no entanto são poucos LA $ 
47	"You typoed "" hodl "" lol $ "
48	With a little delay , the scenario is still in play : ) $ 
49	Hmm real - estate prices are basically backed by the government print machine in a way ; their meddling in free market creates distortion so hard to get fair market price of US homes $ 
50	That chart looks awesome . . . . . upside down Hodl $ 
51	$ HUML You will NOT find another oil and with the land , the wells and the assets they OWN with zero debt , 90 % insider owned , no notes , no dilution and a float of 352k shares . I’m good with my investment # HODL $ 
52	Guys HODL dont fall for this trap jk what can we buy with coingate ? $ 
53	I just did it , now I can HODL some more stuff $ 
54	Chiliz partners with AS Roma . chiliz - to - be - official - cryptocurrency - partner - of - as - roma /   … $ 
55	BUY MORE BITCOIN NOW # bitcoin $ BTC # HODL # Crypto tus / 1151467890782216194   … $ 
56	 $ 
57	Excited to share this item from my # etsy shop : Crypto hoodie , Bitcoin sweater , Cryptocurrency clothing , hodl , winter gifts , sweatshirt , warm pullover etsy . me / 2YRiA0x   $ 
58	But did you buy MaxCoin after ? $ 
59	Its Trumps economy ya muppet . election / trump - s - economy - roaring - will - it - carry - him - 2020 - n1001691   … $ 
60	Za sve hodlere koji se nađu u Poljskoj , kažu da je ukus poput red bulla ! # justhodl # Poland # BTC # hodl $ 
61	 # BIZpaye # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # OnlineShopping # Merchants # B2B # B2C # retail / 1152080654433017857   … $ 
62	Imma pounce $ 
63	 # Maxcoin for sure $ 
64	FYI , I will disagree with probably everything shinobi says in this episode . atus / 1151857758339325952   … $ 
65	The existing Company The BIZpaye CRYPTO Token currency will part of the BIZpaye International Group of Companies # BIZpaye # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # OnlineShopping # Merchants # B2B # B2C @ BIZpaye   $ 
66	Swiss crypto vault and broker Bitcoin Suisse applies for banking and securities license   # bitcoin $ 
67	Randle has tanking experience n / status / 1152065292098424837   … $ 
68	What’s happening in Sept ? $ 
69	bnb1as36uu0cjkwvcjghz570rqy7kp2nyt6u30j0pv @ Bitboy _ Hodl @ OpzOffi @ GZ @ HD @ dandabek @ OdemianHS $ 
70	I love you @ Melt _ Dem $ 
71	 @ cryptopototoy @ CrypTollBooth @ BMisy 0xfd6787A0dcDf37f0c8dBCa924eca88e370C177C4 $ 
72	buying what , clothes ? They will handy when I’ll loose all my money . At least i will not be cold on the streets $ 
73	 # Zilliqa is probably the best # investment of my life Now you have to be patient ! # HODL $ ZIL # Bitcoin $ BTC $ 
74	Facebook’s # Libra is social conditioning for the masses . It’s only purpose is to force discussion and awareness of # crypto assets . The PLAN is in play . . . “Level Playing Field” Hodl # XRP ! ! Wonka Knows ! ! $ 
75	Excited to share this item from my # etsy shop : Crypto hoodie , Bitcoin sweater , Cryptocurrency clothing , hodl , winter gifts , sweatshirt , warm pullover , SATOSHI etsy . me / 2LrKIEk   $ 
76	UK investors will never again be agile with this on ramp . . buy once hodl once sell once $ 
77	Just bought more @ tezos . It ' s < $1 . Imagine if U could have bought # Bitcoin or # Ethereum under $1 . Same thing now w / # tezos - fantastic tech w / real use cases building real products & still early days . Don ' t miss out ! # BUIDL # HODL # LPoS # Staking # STO $ XTZ # CryptoCurrency $ 
78	This is good for bitcoin . Bullish . . . $ 
79	 s / status / 1151880177166802945   … $ 
80	Don ' t trade satoshis for $ LINK . . . buy $ LINK with fiat . . . Hodl $ BTC $ 
81	高値になってから煽るのって誰でもできますよね。 安いうちから煽るのって カッコ悪いですよね。 でも私はLISK煽りまっせ。 いいところいっぱいありますからな。 $ 
82	HODL AND BUY THE DIP I know , but I never do it . . . （Another moment to regret） $ 
83	 $ 
84	El objetivo final del proyecto es crear una red que pueda ser utilizada a nivel internacional y ayude a evitar el blanqueo de capitales . ow . ly / 5fe850v4Cti   $ 
85	いやあこれから地獄じゃないですかね。 株式市場も何度もこんなこと繰り返してますから。 $ 
86	Damned if I haven ' t tried to unsee it . $ 
87	Well the flag represent out history and heritage . Although not perfect it is up to us to improve so no it ' s not a cloth , it ' s a symbol of who we are and where we are going . $ 
88	Love seeing the from @ Tronfoundation & @ BitTorrent . Their MainNet is super fast ( 2000 TPS ) , and you have # BitTorrentSpeed in beta . They’re establishing a secure decentralized internet where it’s owned by the people ! $ TRX $ BTT # HODL $ 
89	 @ Bizpaye is having a 2weeks IEO ONLY ! Week 1 - 0 . 15$ Week 2 - 0 . 20$ Link : ndingpage   … Signup and pass kyc to qualify . # BIZpaye # Merchants # Marketplace # HODL # BarterCredit # crypto # cryptotrading # BTC # OnlineShopping # B2B # B2C # retail bizpayecrypto . io   $ 
90	Forgot about that one already . I must hodl it . At least 4 of them . What a bad move that was . $ 
91	I did with my trading position , but not my HODL position . Knew I should’ve when the parabola broke . Still trying to a better trader $ 
